STATION_ID,ANTENNA_ID,X,Y,Z
0,0,3826885.7461300003,460981.095665,5064665.928
0,1,3826886.84113,460985.966665,5064664.666
0,2,3826888.62613,460974.594665,5064664.354
0,3,3826889.72213,460979.46566499997,5064663.091
0,4,3826890.81813,460984.335665,5064661.828000001
0,5,3826891.91513,460989.206666,5064660.565
0,6,3826891.50613,460968.091665,5064662.78
0,7,3826892.60313,460972.963666,5064661.516000001
0,8,3826893.69813,460977.834666,5064660.254000001
0,9,3826894.79513,460982.705666,5064658.99
0,10,3826895.89113,460987.575666,5064657.727000001
0,11,3826896.9871300003,460992.446666,5064656.464000001
0,12,3826895.48313,460966.461666,5064659.942000001
0,13,3826896.5781300003,460971.332666,5064658.6790000005
0,14,3826897.6751300003,460976.203666,5064657.416
0,15,3826898.7711300002,460981.074666,5064656.153000001
0,16,3826899.86713,460985.945666,5064654.890000001
0,17,3826900.96313,460990.816666,5064653.627
0,18,3826900.55513,460969.701666,5064655.842
0,19,3826901.6521300003,460974.573666,5064654.579000001
0,20,3826902.74713,460979.443666,5064653.316000001
0,21,3826903.84413,460984.31466699997,5064652.053
0,22,3826905.62813,460972.942667,5064651.741
0,23,3826906.72413,460977.813667,5064650.478
1,24,3826968.89414,460899.237672,5064610.91401
1,25,3826969.99014,460904.108672,5064609.65201
1,26,3826971.77514,460892.73667199997,5064609.34001
1,27,3826972.87114,460897.607672,5064608.07701
1,28,3826973.9671400003,460902.477672,5064606.814010001
1,29,3826975.06314,460907.348673,5064605.5510100005
1,30,3826974.65514,460886.234673,5064607.76601
1,31,3826975.7511400003,460891.105673,5064606.502010001
1,32,3826976.84714,460895.97667299997,5064605.240010001
1,33,3826977.94314,460900.847673,5064603.97601
1,34,3826979.04014,460905.717673,5064602.71301
1,35,3826980.13614,460910.588673,5064601.450010001
1,36,3826978.63114,460884.604673,5064604.928010001
1,37,3826979.72714,460889.475673,5064603.665010001
1,38,3826980.82414,460894.345673,5064602.40201
1,39,3826981.92014,460899.216673,5064601.13901
1,40,3826983.01614,460904.087673,5064599.876010001
1,41,3826984.1121400003,460908.958673,5064598.61301
1,42,3826983.70414,460887.844673,5064600.82801
1,43,3826984.80014,460892.71567299997,5064599.56501
1,44,3826985.8961400003,460897.585673,5064598.302010001
1,45,3826986.99214,460902.456674,5064597.03901
1,46,3826988.77714,460891.084674,5064596.7270100005
1,47,3826989.8731400003,460895.95567399997,5064595.46401
2,0,3826592.05312,460960.95064,5064887.141
2,1,3826594.88712,460964.48563999997,5064884.693
2,2,3826592.21512,460953.68864,5064887.675
2,3,3826595.04912,460957.22364,5064885.228
2,4,3826597.88412,460960.75964099995,5064882.7809999995
2,5,3826600.71812,460964.293641,5064880.334
2,6,3826592.37612,460946.42663999996,5064888.211
2,7,3826595.21012,460949.961641,5064885.762999999
2,8,3826598.04612,460953.49764099997,5064883.316
2,9,3826600.88012,460957.031641,5064880.868
2,10,3826603.71512,460960.567641,5064878.421
2,11,3826606.54912,460964.102641,5064875.973999999
2,12,3826595.37312,460942.700641,5064886.2979999995
2,13,3826598.20712,460946.235641,5064883.851
2,14,3826601.04212,460949.771641,5064881.404
2,15,3826603.87612,460953.305641,5064878.955999999
2,16,3826606.71212,460956.841641,5064876.509
2,17,3826609.54612,460960.376642,5064874.061
2,18,3826601.20412,460942.50964099995,5064881.938
2,19,3826604.0381199997,460946.043641,5064879.490999999
2,20,3826606.87312,460949.57964099996,5064877.044
2,21,3826609.70712,460953.114642,5064874.597
2,22,3826607.03512,460942.317642,5064877.579
2,23,3826609.86912,460945.85264199995,5064875.131
3,24,3826555.7061199998,460954.324637,5064915.023
3,25,3826555.0901099998,460959.437637,5064915.023
3,26,3826560.40012,460949.70263799996,5064911.916999999
3,27,3826559.78412,460954.815638,5064911.916999999
3,28,3826559.16812,460959.928637,5064911.916999999
3,29,3826558.55211,460965.041637,5064911.916999999
3,30,3826565.0951199997,460945.081638,5064908.811
3,32,3826563.86312,460955.307638,5064908.811
3,34,3826562.63111,460965.53363799996,5064908.811
3,35,3826562.01511,460970.646638,5064908.811
3,36,3826569.17312,460945.57263799995,5064905.705
3,37,3826568.55712,460950.68563799997,5064905.705
3,39,3826567.3251199997,460960.911638,5064905.705
3,41,3826566.09311,460971.13763799996,5064905.705
3,42,3826572.63612,460951.177639,5064902.598999999
3,43,3826572.02012,460956.29063899996,5064902.598999999
3,44,3826571.40412,460961.40363799996,5064902.598999999
3,45,3826570.7881199997,460966.516638,5064902.598999999
3,46,3826576.0981199997,460956.781639,5064899.493
3,47,3826575.48212,460961.894639,5064899.493
4,0,3826460.99511,461003.12762900005,5064981.702
4,1,3826462.50011,461007.80262900004,5064980.149
4,2,3826463.32911,460996.322629,5064980.565
4,3,3826464.83511,461000.996629,5064979.012
4,4,3826466.3401099998,461005.67163,5064977.46
4,5,3826467.84611,461010.34463,5064975.907
4,6,3826465.66311,460989.51863,5064979.428
4,7,3826467.16911,460994.19163,5064977.875
4,8,3826468.67511,460998.86563,5064976.323
4,9,3826470.18011,461003.54063,5064974.77
4,10,3826471.68611,461008.21363,5064973.217
4,11,3826473.19211,461012.88763,5064971.664
4,12,3826469.50411,460987.38763,5064976.738
4,13,3826471.01011,460992.06163,5064975.185
4,14,3826472.51611,460996.73463,5064973.632
4,15,3826474.02111,461001.40963,5064972.079
4,16,3826475.52711,461006.08363,5064970.527
4,17,3826477.03311,461010.756631,5064968.974
4,18,3826474.85011,460989.93063,5064972.495
4,19,3826476.35611,460994.60363,5064970.942
4,20,3826477.86111,460999.278631,5064969.39
4,21,3826479.36711,461003.952631,5064967.837
4,22,3826480.19611,460992.47263100004,5064968.253
4,23,3826481.70111,460997.147631,5064966.7
5,24,3826508.90411,461042.80663300003,5064942.155
5,25,3826511.73811,461046.341633,5064939.707
5,26,3826509.06611,461035.54463300004,5064942.689
5,27,3826511.90011,461039.079633,5064940.242
5,28,3826514.73511,461042.61563400005,5064937.795
5,29,3826517.56911,461046.14963400003,5064935.348
5,30,3826509.22711,461028.28263300005,5064943.225
5,31,3826512.06111,461031.817633,5064940.777
5,32,3826514.89711,461035.353634,5064938.33
5,33,3826517.73111,461038.88763400004,5064935.882
5,34,3826520.56611,461042.423634,5064933.435
5,35,3826523.40011,461045.95863400004,5064930.988
5,36,3826512.22411,461024.55663300003,5064941.312
5,37,3826515.05811,461028.091634,5064938.865
5,38,3826517.89311,461031.62763400003,5064936.418
5,39,3826520.72711,461035.161634,5064933.97
5,40,3826523.56311,461038.69763400004,5064931.523
5,41,3826526.39711,461042.232635,5064929.075
5,42,3826518.05511,461024.36563400005,5064936.952
5,43,3826520.88911,461027.89963400003,5064934.505
5,44,3826523.72411,461031.43563400005,5064932.058
5,45,3826526.55811,461034.97063500003,5064929.611
5,46,3826523.88611,461024.173634,5064932.593
5,47,3826526.72011,461027.70863500005,5064930.145
6,0,3826575.52212,460870.150639,5064907.756
6,1,3826577.42112,460874.575639,5064905.931
6,2,3826577.2851199997,460863.117639,5064907.068
6,3,3826579.18412,460867.542639,5064905.243
6,4,3826581.0831199996,460871.96863899997,5064903.416999999
6,5,3826582.98212,460876.39264,5064901.591999999
6,6,3826579.04812,460856.083639,5064906.381
6,7,3826580.94612,460860.509639,5064904.556
6,8,3826582.84612,460864.93464,5064902.7299999995
6,9,3826584.74412,460869.36063999997,5064900.904999999
6,10,3826586.6431199997,460873.78564,5064899.079
6,11,3826588.54312,460878.21164,5064897.254
6,12,3826582.70913,460853.47564,5064903.868
6,13,3826584.6091199997,460857.90164,5064902.043
6,14,3826586.50812,460862.32664,5064900.216999999
6,15,3826588.40612,460866.75264,5064898.392
6,16,3826590.30612,460871.17764,5064896.566
6,17,3826592.20412,460875.60364,5064894.740999999
6,19,3826590.1691199997,460859.71864,5064897.705
6,20,3826592.06812,460864.14464,5064895.879
6,21,3826593.9671199997,460868.56964,5064894.054
