R,G,B
0,0,0
0,0.022549,0.037059
0,0.045098,0.074118
0,0.067647,0.11118
0,0.090196,0.14824
0,0.11275,0.18529
0,0.13529,0.22235
0,0.15784,0.25941
0,0.18039,0.29647
0,0.20294,0.33353
0,0.22549,0.37059
0,0.24804,0.40765
0,0.27059,0.44471
0,0.29314,0.48176
0,0.31569,0.51882
0,0.33824,0.55588
0,0.36078,0.59294
0,0.38333,0.63
0,0.40588,0.66706
0,0.42843,0.70412
0,0.45098,0.74118
0.013725,0.46453,0.74973
0.027451,0.47807,0.75829
0.041176,0.49162,0.76684
0.054902,0.50517,0.7754
0.068627,0.51872,0.78396
0.082353,0.53226,0.79251
0.096078,0.54581,0.80107
0.1098,0.55936,0.80963
0.12353,0.57291,0.81818
0.13725,0.58645,0.82674
0.15098,0.6,0.83529
0.16471,0.61355,0.84385
0.17843,0.62709,0.85241
0.19216,0.64064,0.86096
0.20588,0.65419,0.86952
0.21961,0.66774,0.87807
0.23333,0.68128,0.88663
0.24706,0.69483,0.89519
0.26078,0.70838,0.90374
0.27451,0.72193,0.9123
0.28824,0.73547,0.92086
0.30196,0.74902,0.92941
0.3352,0.76097,0.93277
0.36844,0.77292,0.93613
0.40168,0.78487,0.9395
0.43492,0.79683,0.94286
0.46816,0.80878,0.94622
0.5014,0.82073,0.94958
0.53464,0.83268,0.95294
0.56788,0.84463,0.9563
0.60112,0.85658,0.95966
0.63436,0.86853,0.96303
0.6676,0.88049,0.96639
0.70084,0.89244,0.96975
0.73408,0.90439,0.97311
0.76732,0.91634,0.97647
0.80056,0.92829,0.97983
0.8338,0.94024,0.98319
0.86704,0.95219,0.98655
0.90028,0.96415,0.98992
0.93352,0.9761,0.99328
0.96676,0.98805,0.99664
1,1,1
