R,G,B
0.28627,0.28627,0.28627
0.32471,0.27242,0.28288
0.36314,0.25856,0.27948
0.40157,0.24471,0.27608
0.44,0.23085,0.27268
0.47843,0.21699,0.26928
0.51686,0.20314,0.26588
0.55529,0.18928,0.26248
0.59373,0.17542,0.25908
0.63216,0.16157,0.25569
0.67059,0.14771,0.25229
0.70902,0.13386,0.24889
0.74745,0.12,0.24549
0.78588,0.10614,0.24209
0.82431,0.092288,0.23869
0.86275,0.078431,0.23529
0.87132,0.11397,0.22059
0.8799,0.14951,0.20588
0.88848,0.18505,0.19118
0.89706,0.22059,0.17647
0.90564,0.25613,0.16176
0.91422,0.29167,0.14706
0.92279,0.32721,0.13235
0.93137,0.36275,0.11765
0.93995,0.39828,0.10294
0.94853,0.43382,0.088235
0.95711,0.46936,0.073529
0.96569,0.5049,0.058824
0.97426,0.54044,0.044118
0.98284,0.57598,0.029412
0.99142,0.61152,0.014706
1,0.64706,0
1,0.65931,0
1,0.67157,0
1,0.68382,0
1,0.69608,0
1,0.70833,0
1,0.72059,0
1,0.73284,0
1,0.7451,0
1,0.75735,0
1,0.76961,0
1,0.78186,0
1,0.79412,0
1,0.80637,0
1,0.81863,0
1,0.83088,0
1,0.84314,0
1,0.85294,0.0625
1,0.86275,0.125
1,0.87255,0.1875
1,0.88235,0.25
1,0.89216,0.3125
1,0.90196,0.375
1,0.91176,0.4375
1,0.92157,0.5
1,0.93137,0.5625
1,0.94118,0.625
1,0.95098,0.6875
1,0.96078,0.75
1,0.97059,0.8125
1,0.98039,0.875
1,0.9902,0.9375
1,1,1
