R,G,B
0.28627,0.28627,0.28627
0.33386,0.30379,0.26719
0.38144,0.32131,0.2481
0.42902,0.33882,0.22902
0.4766,0.35634,0.20993
0.52418,0.37386,0.19085
0.57176,0.39137,0.17176
0.61935,0.40889,0.15268
0.66693,0.42641,0.13359
0.71451,0.44392,0.11451
0.76209,0.46144,0.095425
0.80967,0.47895,0.07634
0.85725,0.49647,0.057255
0.90484,0.51399,0.03817
0.95242,0.5315,0.019085
1,0.54902,0
1,0.5674,0
1,0.58578,0
1,0.60417,0
1,0.62255,0
1,0.64093,0
1,0.65931,0
1,0.6777,0
1,0.69608,0
1,0.71446,0
1,0.73284,0
1,0.75123,0
1,0.76961,0
1,0.78799,0
1,0.80637,0
1,0.82475,0
1,0.84314,0
1,0.85172,0.050245
1,0.86029,0.10049
1,0.86887,0.15074
1,0.87745,0.20098
1,0.88603,0.25123
1,0.89461,0.30147
1,0.90319,0.35172
1,0.91176,0.40196
1,0.92034,0.45221
1,0.92892,0.50245
1,0.9375,0.5527
1,0.94608,0.60294
1,0.95466,0.65319
1,0.96324,0.70343
1,0.97181,0.75368
1,0.98039,0.80392
1,0.98162,0.81618
1,0.98284,0.82843
1,0.98407,0.84069
1,0.98529,0.85294
1,0.98652,0.8652
1,0.98775,0.87745
1,0.98897,0.88971
1,0.9902,0.90196
1,0.99142,0.91422
1,0.99265,0.92647
1,0.99387,0.93873
1,0.9951,0.95098
1,0.99632,0.96324
1,0.99755,0.97549
1,0.99877,0.98775
1,1,1
