x,n_threshold
1.0,7
2.0,9
3.0,11
4.0,12
5.0,14
6.0,15
7.0,17
8.0,18
9.0,19
10.0,21
11.0,22
12.0,23
13.0,24
14.0,26
15.0,27
16.0,28
17.0,29
18.0,31
19.0,32
20.0,33
21.0,34
22.0,35
23.0,36
24.0,38
25.0,39
26.0,40
27.0,41
28.0,42
29.0,43
30.0,45
31.0,46
32.0,47
33.0,48
34.0,49
35.0,50
36.0,51
37.0,52
38.0,54
39.0,55
40.0,56
41.0,57
42.0,58
43.0,59
44.0,60
45.0,61
46.0,62
47.0,64
48.0,65
49.0,66
50.0,67
51.0,68
52.0,69
53.0,70
54.0,71
55.0,72
56.0,73
57.0,75
58.0,76
59.0,77
60.0,78
61.0,79
62.0,80
63.0,81
64.0,82
65.0,83
66.0,84
67.0,85
68.0,86
69.0,88
70.0,89
71.0,90
72.0,91
73.0,92
74.0,93
75.0,94
76.0,95
77.0,96
78.0,97
79.0,98
80.0,99
81.0,100
82.0,102
83.0,103
84.0,104
85.0,105
86.0,106
87.0,107
88.0,108
89.0,109
90.0,110
91.0,111
92.0,112
93.0,113
94.0,114
95.0,115
96.0,116
97.0,118
98.0,119
99.0,120
100.0,121
101.0,122
102.0,123
103.0,124
104.0,125
105.0,126
106.0,127
107.0,128
108.0,129
109.0,130
110.0,131
111.0,132
112.0,133
113.0,134
114.0,136
115.0,137
116.0,138
117.0,139
118.0,140
119.0,141
120.0,142
121.0,143
122.0,144
123.0,145
124.0,146
125.0,147
126.0,148
127.0,149
128.0,150
129.0,151
130.0,152
131.0,153
132.0,155
133.0,156
134.0,157
135.0,158
136.0,159
137.0,160
138.0,161
139.0,162
140.0,163
141.0,164
142.0,165
143.0,166
144.0,167
145.0,168
146.0,169
147.0,170
148.0,171
149.0,172
150.0,173
151.0,174
152.0,175
153.0,177
154.0,178
155.0,179
156.0,180
157.0,181
158.0,182
159.0,183
160.0,184
161.0,185
162.0,186
163.0,187
164.0,188
165.0,189
166.0,190
167.0,191
168.0,192
169.0,193
170.0,194
171.0,195
172.0,196
173.0,197
174.0,198
175.0,199
176.0,201
177.0,202
178.0,203
179.0,204
180.0,205
181.0,206
182.0,207
183.0,208
184.0,209
185.0,210
186.0,211
187.0,212
188.0,213
189.0,214
190.0,215
191.0,216
192.0,217
193.0,218
194.0,219
195.0,220
196.0,221
197.0,222
198.0,223
199.0,224
200.0,225
201.0,227
202.0,228
203.0,229
204.0,230
205.0,231
206.0,232
207.0,233
208.0,234
209.0,235
210.0,236
211.0,237
212.0,238
213.0,239
214.0,240
215.0,241
216.0,242
217.0,243
218.0,244
219.0,245
220.0,246
221.0,247
222.0,248
223.0,249
224.0,250
225.0,251
226.0,252
227.0,253
228.0,254
229.0,256
230.0,257
231.0,258
232.0,259
233.0,260
234.0,261
235.0,262
236.0,263
237.0,264
238.0,265
239.0,266
240.0,267
241.0,268
242.0,269
243.0,270
244.0,271
245.0,272
246.0,273
247.0,274
248.0,275
249.0,276
250.0,277
251.0,278
252.0,279
253.0,280
254.0,281
255.0,282
256.0,283
257.0,284
258.0,285
259.0,287
260.0,288
261.0,289
262.0,290
263.0,291
264.0,292
265.0,293
266.0,294
267.0,295
268.0,296
269.0,297
270.0,298
271.0,299
272.0,300
273.0,301
274.0,302
275.0,303
276.0,304
277.0,305
278.0,306
279.0,307
280.0,308
281.0,309
282.0,310
283.0,311
284.0,312
285.0,313
286.0,314
287.0,315
288.0,316
289.0,317
290.0,318
291.0,319
292.0,321
293.0,322
294.0,323
295.0,324
296.0,325
297.0,326
298.0,327
299.0,328
300.0,329
301.0,330
302.0,331
303.0,332
304.0,333
305.0,334
306.0,335
307.0,336
308.0,337
309.0,338
310.0,339
311.0,340
312.0,341
313.0,342
314.0,343
315.0,344
316.0,345
317.0,346
318.0,347
319.0,348
320.0,349
321.0,350
322.0,351
323.0,352
324.0,353
325.0,354
326.0,355
327.0,357
328.0,358
329.0,359
330.0,360
331.0,361
332.0,362
333.0,363
334.0,364
335.0,365
336.0,366
337.0,367
338.0,368
339.0,369
340.0,370
341.0,371
342.0,372
343.0,373
344.0,374
345.0,375
346.0,376
347.0,377
348.0,378
349.0,379
350.0,380
351.0,381
352.0,382
353.0,383
354.0,384
355.0,385
356.0,386
357.0,387
358.0,388
359.0,389
360.0,390
361.0,391
362.0,392
363.0,393
364.0,394
365.0,396
366.0,397
367.0,398
368.0,399
369.0,400
370.0,401
371.0,402
372.0,403
373.0,404
374.0,405
375.0,406
376.0,407
377.0,408
378.0,409
379.0,410
380.0,411
381.0,412
382.0,413
383.0,414
384.0,415
385.0,416
386.0,417
387.0,418
388.0,419
389.0,420
390.0,421
391.0,422
392.0,423
393.0,424
394.0,425
395.0,426
396.0,427
397.0,428
398.0,429
399.0,430
400.0,431
401.0,432
402.0,433
403.0,434
404.0,435
405.0,436
406.0,437
407.0,439
408.0,440
409.0,441
410.0,442
411.0,443
412.0,444
413.0,445
414.0,446
415.0,447
416.0,448
417.0,449
418.0,450
419.0,451
420.0,452
421.0,453
422.0,454
423.0,455
424.0,456
425.0,457
426.0,458
427.0,459
428.0,460
429.0,461
430.0,462
431.0,463
432.0,464
433.0,465
434.0,466
435.0,467
436.0,468
437.0,469
438.0,470
439.0,471
440.0,472
441.0,473
442.0,474
443.0,475
444.0,476
445.0,477
446.0,478
447.0,479
448.0,480
449.0,481
450.0,482
451.0,484
452.0,485
453.0,486
454.0,487
455.0,488
456.0,489
457.0,490
458.0,491
459.0,492
460.0,493
461.0,494
462.0,495
463.0,496
464.0,497
465.0,498
466.0,499
467.0,500
468.0,501
469.0,502
470.0,503
471.0,504
472.0,505
473.0,506
474.0,507
475.0,508
476.0,509
477.0,510
478.0,511
479.0,512
480.0,513
481.0,514
482.0,515
483.0,516
484.0,517
485.0,518
486.0,519
487.0,520
488.0,521
489.0,522
490.0,523
491.0,524
492.0,525
493.0,526
494.0,527
495.0,528
496.0,529
497.0,530
498.0,531
499.0,533
500.0,534
501.0,535
502.0,536
503.0,537
504.0,538
505.0,539
506.0,540
507.0,541
508.0,542
509.0,543
510.0,544
511.0,545
512.0,546
513.0,547
514.0,548
515.0,549
516.0,550
517.0,551
518.0,552
519.0,553
520.0,554
521.0,555
522.0,556
523.0,557
524.0,558
525.0,559
526.0,560
527.0,561
528.0,562
529.0,563
530.0,564
531.0,565
532.0,566
533.0,567
534.0,568
535.0,569
536.0,570
537.0,571
538.0,572
539.0,573
540.0,574
541.0,575
542.0,576
543.0,577
544.0,578
545.0,579
546.0,580
547.0,581
548.0,582
549.0,583
550.0,585
551.0,586
552.0,587
553.0,588
554.0,589
555.0,590
556.0,591
557.0,592
558.0,593
559.0,594
560.0,595
561.0,596
562.0,597
563.0,598
564.0,599
565.0,600
566.0,601
567.0,602
568.0,603
569.0,604
570.0,605
571.0,606
572.0,607
573.0,608
574.0,609
575.0,610
