R,G,B
0.14902,0.14902,0.14902
0.14824,0.16882,0.14824
0.14745,0.18863,0.14745
0.14667,0.20843,0.14667
0.14588,0.22824,0.14588
0.1451,0.24804,0.1451
0.14431,0.26784,0.14431
0.14353,0.28765,0.14353
0.14275,0.30745,0.14275
0.14196,0.32725,0.14196
0.14118,0.34706,0.14118
0.14039,0.36686,0.14039
0.13961,0.38667,0.13961
0.13882,0.40647,0.13882
0.13804,0.42627,0.13804
0.13725,0.44608,0.13725
0.13647,0.46588,0.13647
0.13569,0.48569,0.13569
0.1349,0.50549,0.1349
0.13412,0.52529,0.13412
0.13333,0.5451,0.13333
0.13632,0.55742,0.13632
0.13931,0.56975,0.13931
0.1423,0.58207,0.1423
0.14528,0.5944,0.14528
0.14827,0.60672,0.14827
0.15126,0.61905,0.15126
0.15425,0.63137,0.15425
0.15724,0.6437,0.15724
0.16022,0.65602,0.16022
0.16321,0.66835,0.16321
0.1662,0.68067,0.1662
0.16919,0.693,0.16919
0.17218,0.70532,0.17218
0.17516,0.71765,0.17516
0.17815,0.72997,0.17815
0.18114,0.7423,0.18114
0.18413,0.75462,0.18413
0.18711,0.76695,0.18711
0.1901,0.77927,0.1901
0.19309,0.7916,0.19309
0.19608,0.80392,0.19608
0.23262,0.81283,0.23262
0.26916,0.82175,0.26916
0.3057,0.83066,0.3057
0.34225,0.83957,0.34225
0.37879,0.84848,0.37879
0.41533,0.8574,0.41533
0.45187,0.86631,0.45187
0.48841,0.87522,0.48841
0.52496,0.88414,0.52496
0.5615,0.89305,0.5615
0.59804,0.90196,0.59804
0.63458,0.91087,0.63458
0.67112,0.91979,0.67112
0.70766,0.9287,0.70766
0.74421,0.93761,0.74421
0.78075,0.94652,0.78075
0.81729,0.95544,0.81729
0.85383,0.96435,0.85383
0.89037,0.97326,0.89037
0.92692,0.98217,0.92692
0.96346,0.99109,0.96346
1,1,1
