R,G,B
0.0,0.0,0.0
0.02184874,0.032493,0.05322129
0.04369748,0.064986,0.10644258
0.06554622,0.09747899,0.15966387
0.08739496,0.129972,0.21288516
0.1092437,0.16246499,0.26610646
0.13109244,0.19495799,0.31932774
0.15294118,0.22745098,0.37254903
0.14673203,0.22254902,0.38725492
0.14052288,0.21764706,0.40196079
0.13431373,0.2127451,0.41666669
0.12810458,0.20784314,0.43137255
0.12189543,0.20294118,0.44607845
0.11568628,0.19803922,0.46078432
0.10947713,0.19313726,0.47549021
0.10326798,0.1882353,0.49019611
0.09705883,0.18333334,0.50490201
0.09084968,0.17843138,0.51960784
0.08464053,0.17352942,0.53431374
0.07843138,0.16862746,0.54901963
0.07189543,0.19183007,0.56503272
0.06535948,0.21503268,0.58104575
0.05882353,0.23823529,0.59705883
0.05228758,0.26143792,0.61307192
0.04575163,0.28464052,0.629085
0.03921569,0.30784315,0.64509809
0.03267974,0.33104575,0.66111112
0.02614379,0.35424837,0.6771242
0.01960784,0.37745097,0.69313729
0.0130719,0.4006536,0.70915031
0.00653595,0.4238562,0.7251634
0.0,0.44705883,0.74117649
0.0754902,0.52156866,0.78921568
0.1509804,0.59607846,0.83725488
0.22647059,0.67058825,0.88529414
0.3019608,0.74509805,0.93333334
0.40168068,0.78151262,0.80000001
0.50140059,0.81792718,0.66666669
0.60112047,0.85434175,0.53333336
0.70084035,0.89075631,0.40000001
0.80056024,0.92717087,0.26666668
0.90028012,0.96358544,0.13333334
1.0,1.0,0.0
1.0,0.91666669,0.0
1.0,0.83333331,0.0
1.0,0.75,0.0
1.0,0.66666669,0.0
1.0,0.58333331,0.0
1.0,0.5,0.0
1.0,0.41666666,0.0
1.0,0.33333334,0.0
1.0,0.25,0.0
1.0,0.16666667,0.0
1.0,0.08333334,0.0
1.0,0.0,0.0
0.92705882,0.01568628,0.03686275
0.85411763,0.03137255,0.07372549
0.78117651,0.04705882,0.11058824
0.70823532,0.0627451,0.14745098
0.63529414,0.07843138,0.18431373
0.55686277,0.10588235,0.18529412
0.4784314,0.13333334,0.18627451
0.40000001,0.16078432,0.18725491
0.32156864,0.1882353,0.1882353
