R,G,B
0.14902,0.14902,0.14902
0.17353,0.14549,0.15059
0.19804,0.14196,0.15216
0.22255,0.13843,0.15373
0.24706,0.1349,0.15529
0.27157,0.13137,0.15686
0.29608,0.12784,0.15843
0.32059,0.12431,0.16
0.3451,0.12078,0.16157
0.36961,0.11725,0.16314
0.39412,0.11373,0.16471
0.41863,0.1102,0.16627
0.44314,0.10667,0.16784
0.46765,0.10314,0.16941
0.49216,0.099608,0.17098
0.51667,0.096078,0.17255
0.54118,0.092549,0.17412
0.56569,0.08902,0.17569
0.5902,0.08549,0.17725
0.61471,0.081961,0.17882
0.63922,0.078431,0.18039
0.6493,0.090383,0.17666
0.65938,0.10233,0.17292
0.66947,0.11429,0.16919
0.67955,0.12624,0.16545
0.68964,0.13819,0.16172
0.69972,0.15014,0.15798
0.7098,0.16209,0.15425
0.71989,0.17404,0.15051
0.72997,0.18599,0.14678
0.74006,0.19795,0.14304
0.75014,0.2099,0.13931
0.76022,0.22185,0.13557
0.77031,0.2338,0.13184
0.78039,0.24575,0.1281
0.79048,0.2577,0.12437
0.80056,0.26965,0.12063
0.81064,0.28161,0.1169
0.82073,0.29356,0.11317
0.83081,0.30551,0.10943
0.8409,0.31746,0.1057
0.85098,0.32941,0.10196
0.85775,0.35989,0.14278
0.86453,0.39037,0.1836
0.8713,0.42086,0.22442
0.87807,0.45134,0.26524
0.88485,0.48182,0.30606
0.89162,0.5123,0.34688
0.8984,0.54278,0.3877
0.90517,0.57326,0.42852
0.91194,0.60374,0.46934
0.91872,0.63422,0.51016
0.92549,0.66471,0.55098
0.93226,0.69519,0.5918
0.93904,0.72567,0.63262
0.94581,0.75615,0.67344
0.95258,0.78663,0.71426
0.95936,0.81711,0.75508
0.96613,0.84759,0.7959
0.97291,0.87807,0.83672
0.97968,0.90856,0.87754
0.98645,0.93904,0.91836
0.99323,0.96952,0.95918
1,1,1
